# Relic/World's Edge API civilization_id -> site civ slug (the API's OWN id space —
# NOT the replay/game civ_id space of civs.tsv). Source: src/data/relic-civ-id-map.json
# (corpus-derived + validated against the API races table; valid from 2025-09).
0	armenians
1	aztecs
2	bengalis
3	berbers
4	bohemians
5	britons
6	bulgarians
7	burgundians
8	burmese
9	byzantines
10	celts
11	chinese
12	cumans
13	dravidians
14	ethiopians
15	franks
16	georgians
17	goths
18	gurjaras
19	huns
20	incas
21	hindustanis
22	italians
23	japanese
24	khmer
25	koreans
26	lithuanians
27	magyars
28	malay
29	malians
30	mayans
31	mongols
32	persians
33	poles
34	portuguese
35	romans
36	saracens
37	sicilians
38	slavs
39	spanish
40	tatars
41	teutons
42	turks
43	vietnamese
44	vikings
45	achaemenids
46	athenians
47	spartans
48	shu
49	wu
50	wei
51	jurchens
52	khitans
55	macedonians
56	thracians
57	puru
58	muisca
59	mapuche
60	tupi
